Game_Id,Abbreviation,Name,Genres,Platforms,Total_Runs,Release_Date
0,sm64,Super Mario 64,3D Platformer,"Nintendo 64, Wii Virtual Console, Wii U Virtual Console, Switch",9174.0,1996-06-23
1,mc,Minecraft: Java Edition,Sandbox,PC,6869.0,2011-11-18
2,smo,Super Mario Odyssey,3D Platformer,Switch,4284.0,2017-10-27
3,celeste,Celeste,2D Platformer,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, Xbox One S, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",3815.0,2018-01-25
4,mk8dx,Mario Kart 8 Deluxe,Racing,Switch,7660.0,2017-04-28
5,seterra,Seterra,Misc,"PC, Android, iOS, Web",7763.0,1997-01-01
6,portal,Portal,Puzzle,"PlayStation 3, Xbox 360, Xbox One, PC",3676.0,2007-10-09
7,supermetroid,Super Metroid,Action,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, New Nintendo 3DS Virtual Console, Switch, SNES Classic Mini, MiSTer, Analogue Super Nt",2826.0,1994-03-19
8,goiwbf,Getting Over It With Bennett Foddy,2D Platformer,"PC, Android, iOS",2561.0,2017-10-06
9,sms,"Super Mario Sunshine""Platformer",3D Platformer,"GameCube, Wii, Switch",2575.0,2002-07-19
10,robloxsr4,ROBLOX: Speed Run 4,Parkour,"PC, Android, iOS, Macintosh",5086.0,2013-01-01
11,smw,Super Mario World,2D Platformer,"Super Nintendo, Wii Virtual Console, Nintendo 3DS Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini, Analogue Super Nt",3150.0,1990-11-21
12,smb1,Super Mario Bros.,2D Platformer,"Nintendo Entertainment System, Super Nintendo, Wii Virtual Console, Game Boy Advance, Wii, Nintendo 3DS Virtual Console, Famicom Disk System, Wii U Virtual Console, NES Classic Mini, Switch, SNES Classic Mini",2277.0,1985-09-13
13,oot,The Legend of Zelda: Ocarina of Time,Action-Adventure,"Nintendo 64, GameCube, Wii Virtual Console, Wii U Virtual Console, iQue Player, Switch",3065.0,1998-11-21
14,alttp,The Legend of Zelda: A Link to the Past,Action-Adventure,"Super Nintendo, Wii Virtual Console, Nintendo 3DS Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini, MiSTer, Analogue Super Nt",2891.0,1991-11-21
15,mcbe,Minecraft: Bedrock Edition,Sandbox,"PlayStation 4, Xbox One, PC, Android, iOS, Windows Phone, Macintosh, Linux, Oculus VR, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, Amazon Fire TV",2147.0,2011-08-16
16,bfbb,SpongeBob SquarePants: Battle for Bikini Bottom,3D Platformer,"GameCube, PlayStation 2, Xbox 360, Xbox, Wii, backwards-compatible PlayStation 3",1084.0,2003-10-31
17,re2remake,Resident Evil 2 (2019),Horror,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",2880.0,2019-01-25
18,pou,Pou,Misc,"Android, iOS",3930.0,2013-02-14
19,piggy,ROBLOX: Piggy,Puzzle,"Xbox, PC, Android, iOS, Macintosh, HTC Vive, Oculus VR",4081.0,2020-01-23
20,outlast,Outlast,Horror,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, Nintendo Switch Lite, SwitchOLED",2043.0,2013-09-04
21,hades,Hades,Roguelike,"PlayStation 4, Xbox One, PC, Macintosh, Switch, PlayStation 5, Xbox Series X, Xbox Series S",3330.0,2018-12-06
22,mcc,Minecraft (Classic),Sandbox,"PC, Web",3164.0,2009-05-17
23,refunct,Refunct,3D Platformer,"PlayStation 4, Xbox One, PC, Switch",1737.0,2015-10-16
24,undertale,Undertale,RPG,"PlayStation Vita, PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch, PlayStation 5, Xbox Series X",1808.0,2015-09-15
25,hollowknight,Hollow Knight,Action,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1705.0,2017-02-24
26,whitetiles4,White Tiles 4: Piano Master 2,Rhythm,"Android, iOS",3755.0,2014-10-03
27,botw,The Legend of Zelda: Breath of the Wild,Action-Adventure,"Wii U, Switch",1668.0,2017-03-03
28,wsr,Wii Sports Resort,Sports,"Wii U, Wii",2013.0,2009-06-25
29,ting,There Is No Game,Misc,"PC, Android, iOS, Web",2383.0,2015-06-25
30,crossy,Crossy Road,2D Platformer,"Arcade, PC, Android, iOS, Web",2615.0,2014-11-20
31,portal_2,Portal 2,Puzzle,"PlayStation 3, Xbox 360, PC",1333.0,2011-04-19
32,bhop_pro,Bhop pro,Parkour,"Android, iOS",2241.0,2017-03-21
33,gtav,Grand Theft Auto V,Sandbox,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",1462.0,2013-09-17
34,smb3,Super Mario Bros. 3,2D Platformer,"Nintendo Entertainment System, Super Nintendo, Wii Virtual Console, Wii, Nintendo 3DS Virtual Console, Wii U Virtual Console, NES Classic Mini, Switch, SNES Classic Mini",1302.0,1988-10-23
35,cuphead,Cuphead,2D Platformer,"PlayStation 4, Xbox One, PC, Macintosh, Switch, Xbox Series X, Xbox Series S",1714.0,2017-09-29
36,lm,Luigi's Mansion,Action-Adventure,"GameCube, Wii",1129.0,2001-09-14
37,mkw,Mario Kart Wii,Racing,"Wii U, Wii, Wii Mini",2401.0,2008-04-10
38,smg1,Super Mario Galaxy,3D Platformer,"Wii, Wii U Virtual Console, Switch",1304.0,2007-11-01
39,nsmbw,New Super Mario Bros. Wii,2D Platformer,"Wii U, Wii, Wii U Virtual Console",1312.0,2009-11-12
40,bocwz,Call of Duty: Black Ops Cold War Zombies,First-person shooter,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",2387.0,2020-11-12
41,shar,The Simpsons: Hit & Run,Sandbox,"GameCube, PlayStation 2, Xbox, PC",842.0,2003-09-16
42,sa2b,Sonic Adventure 2: Battle,3D Platformer,"GameCube, Dreamcast, PlayStation 3, Xbox 360, PC",1216.0,2001-06-23
43,spelunky2,Spelunky 2,Roguelike,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1338.0,2020-09-15
44,karlson_itch_io,Karlson (Itch.io),Parkour,"PC, Macintosh, Linux",1131.0,2020-01-17
45,mdread,Metroid Dread,Action-Adventure,Switch,1605.0,2021-10-08
46,muck,Muck,Roguelike,"PC, Macintosh, Linux",1494.0,2021-06-05
47,spyro1,Spyro the Dragon,3D Platformer,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV",655.0,1998-09-10
48,bo3zombies,Call of Duty: Black Ops III Zombies,First-person shooter,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC",2469.0,2015-11-06
49,re7,Resident Evil 7: Biohazard,Horror,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1058.0,2017-01-24
